,index,Date,State,Confirmed,Recovered,Deceased,Other,Tested
13,21651,2021-10-31,Jharkhand,348764,343518,5138,0,15985878.0
34,21673,2021-10-31,Uttarakhand,343896,330195,7400,6150,7781148.0
14,21652,2021-10-31,Jammu and Kashmir,332249,326915,4432,0,16202346.0
11,21649,2021-10-31,Himachal Pradesh,224106,218410,3738,16,3685011.0
9,21647,2021-10-31,Goa,178108,174392,3364,0,1468399.0
27,21665,2021-10-31,Puducherry,128013,125726,1857,0,1919060.0
21,21659,2021-10-31,Manipur,123731,121102,1921,0,1367673.0
23,21661,2021-10-31,Mizoram,121359,114612,432,0,1298444.0
32,21670,2021-10-31,Tripura,84468,83466,813,63,1983127.0
20,21658,2021-10-31,Meghalaya,83627,81746,1450,0,1151665.0
5,21643,2021-10-31,Chandigarh,65351,64495,820,0,792851.0
2,21640,2021-10-31,Arunachal Pradesh,55155,54774,280,0,1185436.0
29,21667,2021-10-31,Sikkim,31979,31063,396,325,261343.0
24,21662,2021-10-31,Nagaland,31842,29904,685,1043,395416.0
17,21655,2021-10-31,Ladakh,20962,20687,208,0,555568.0
8,21646,2021-10-31,Dadra and Nagar Haveli and Daman and Diu,10681,10644,4,31,72410.0
18,21656,2021-10-31,Lakshadweep,10365,10270,51,44,263541.0
0,21638,2021-10-31,Andaman and Nicobar Islands,7651,7518,129,0,598033.0
