,Date,state,abbreviation,capital,area (square miles),population,Confirmed cases,deaths
4,2022-01-02,California,CA,Sacramento,"163,695","39,512,223",5560323,76712
42,2022-01-02,Texas,TX,Austin,"268,596","28,995,881",4581606,76062
8,2022-01-02,Florida,FL,Tallahassee,"65,758","21,477,737",4166392,62504
31,2022-01-02,New York,NY,Albany,"54,555","19,453,561",3617573,59152
12,2022-01-02,Illinois,IL,Springfield,"57,914","12,671,821",2154058,31017
37,2022-01-02,Pennsylvania,PA,Harrisburg,"46,054","12,801,989",2077224,36715
34,2022-01-02,Ohio,OH,Columbus,"44,826","11,689,100",2053721,29447
9,2022-01-02,Georgia,GA,Atlanta,"59,425","10,617,423",1798497,30283
21,2022-01-02,Michigan,MI,Lansing,"96,714","9,986,857",1706355,28984
32,2022-01-02,North Carolina,NC,Raleigh,"53,819","10,488,084",1685504,19436
29,2022-01-02,New Jersey,NJ,Trenton,"8,723","8,882,190",1623096,29056
2,2022-01-02,Arizona,AZ,Phoenix,"113,990","7,278,717",1390409,24355
41,2022-01-02,Tennessee,TN,Nashville,"42,144","6,829,174",1379917,20640
13,2022-01-02,Indiana,IN,Indianapolis,"36,420","6,732,219",1250565,19037
20,2022-01-02,Massachusetts,MA,Boston,"10,554","6,892,503",1140614,20273
48,2022-01-02,Wisconsin,WI,Madison,"65,496","5,822,434",1120669,11173
45,2022-01-02,Virginia,VA,Richmond,"42,775","8,535,519",1118518,15587
24,2022-01-02,Missouri,MO,Jefferson City,"69,707","6,137,428",1029341,16233
22,2022-01-02,Minnesota,MN,St. Paul,"86,936","5,639,632",1022352,10656
39,2022-01-02,South Carolina,SC,Columbia,"32,020","5,148,714",975320,14636
5,2022-01-02,Colorado,CO,Denver,"104,094","5,758,736",936422,10485
0,2022-01-02,Alabama,AL,Montgomery,"52,420","4,903,185",909541,16455
16,2022-01-02,Kentucky,KY,Frankfort,"40,408","4,467,673",866894,12149
46,2022-01-02,Washington,WA,Olympia,"71,298","7,614,893",852824,9904
17,2022-01-02,Louisiana,LA,Baton Rouge,"52,378","4,648,794",828695,14986
19,2022-01-02,Maryland,MD,Annapolis,"12,406","6,045,680",737437,11870
35,2022-01-02,Oklahoma,OK,Oklahoma City,"69,899","3,956,971",708938,11552
43,2022-01-02,Utah,UT,Salt Lake City,"84,897","3,205,958",637144,3787
14,2022-01-02,Iowa,IA,Des Moines,"56,273","3,155,070",575501,7858
3,2022-01-02,Arkansas,AR,Little Rock,"53,179","3,017,804",572822,9196
23,2022-01-02,Mississippi,MS,Jackson,"48,432","2,976,149",543737,10450
15,2022-01-02,Kansas,KS,Topeka,"82,278","2,913,314",520500,7030
6,2022-01-02,Connecticut,CT,Hartford,"5,543","3,565,278",510188,9160
27,2022-01-02,Nevada,NV,Carson City,"110,572","3,080,156",501181,8420
36,2022-01-02,Oregon,OR,Salem,"98,379","4,217,737",421263,5655
30,2022-01-02,New Mexico,NM,Santa Fe,"121,590","2,096,829",350043,5857
26,2022-01-02,Nebraska,NE,Lincoln,"77,348","1,934,408",338257,2917
47,2022-01-02,West Virginia,WV,Charleston,"24,230","1,792,147",328162,5336
11,2022-01-02,Idaho,ID,Boise,"83,569","1,787,065",319442,4163
38,2022-01-02,Rhode Island,RI,Providence,"1,545","1,059,361",231096,3066
28,2022-01-02,New Hampshire,NH,Concord,"9,349","1,359,711",198667,1961
25,2022-01-02,Montana,MT,Helena,"147,040","1,068,778",197784,2907
7,2022-01-02,Delaware,DE,Dover,"2,489","973,764",186996,2286
40,2022-01-02,South Dakota,SD,Pierre,"77,116","884,659",179204,2486
33,2022-01-02,North Dakota,ND,Bismarck,"70,698","762,062",174787,2057
1,2022-01-02,Alaska,AK,Juneau,"665,384","731,545",156130,954
18,2022-01-02,Maine,ME,Augusta,"35,380","1,344,212",146736,1531
49,2022-01-02,Wyoming,WY,Cheyenne,"97,813","578,759",115638,1526
10,2022-01-02,Hawaii,HI,Honolulu,"10,932","1,415,872",115400,1091
44,2022-01-02,Vermont,VT,Montpelier,"9,616","623,989",64447,471
